event_id,user_id,event_type,timestamp,amount
1,u001,registration,2024-01-15,0
2,u001,first_payment,2024-01-15,990
3,u001,month_2_renewal,2024-02-15,990
4,u001,month_3_renewal,2024-03-15,990
5,u001,month_4_renewal,2024-04-15,990
6,u001,month_5_renewal,2024-05-15,990
7,u001,month_6_renewal,2024-06-15,990
8,u001,month_7_renewal,2024-07-15,990
9,u001,month_8_renewal,2024-08-15,990
10,u002,registration,2024-02-10,0
11,u002,first_payment,2024-02-10,990
12,u002,month_2_renewal,2024-03-10,990
13,u002,month_3_renewal,2024-04-10,990
14,u002,month_4_renewal,2024-05-10,990
15,u002,month_5_renewal,2024-06-10,990
16,u002,month_6_renewal,2024-07-10,990
17,u002,month_7_renewal,2024-08-10,990
18,u003,registration,2024-01-20,0
19,u003,first_payment,2024-01-20,990
20,u003,month_2_renewal,2024-02-20,990
21,u003,month_3_renewal,2024-03-20,990
22,u003,month_4_renewal,2024-04-20,990
23,u003,month_5_renewal,2024-05-20,990
24,u003,month_6_renewal,2024-06-20,990
25,u003,month_7_renewal,2024-07-20,990
26,u003,month_8_renewal,2024-08-20,990
27,u003,month_9_renewal,2024-09-20,990
28,u004,registration,2024-02-05,0
29,u004,first_payment,2024-02-05,990
30,u004,month_2_renewal,2024-03-05,990
31,u004,month_3_renewal,2024-04-05,990
32,u004,month_4_renewal,2024-05-05,990
33,u004,month_5_renewal,2024-06-05,990
34,u004,month_6_renewal,2024-07-05,990
35,u004,month_7_renewal,2024-08-05,990
36,u005,registration,2024-02-28,0
37,u005,first_payment,2024-02-28,990
38,u005,month_2_renewal,2024-03-28,990
39,u005,month_3_renewal,2024-04-28,990
40,u005,month_4_renewal,2024-05-28,990
41,u005,month_5_renewal,2024-06-28,990
42,u005,month_6_renewal,2024-07-28,990
43,u005,month_7_renewal,2024-08-28,990
44,u006,registration,2024-03-01,0
45,u006,first_payment,2024-03-01,990
46,u006,month_2_renewal,2024-04-01,990
47,u006,month_3_renewal,2024-05-01,990
48,u006,month_4_renewal,2024-06-01,990
49,u006,month_5_renewal,2024-07-01,990
50,u006,month_6_renewal,2024-08-01,990
51,u007,registration,2024-03-10,0
52,u007,first_payment,2024-03-10,990
53,u007,month_2_renewal,2024-04-10,990
54,u007,month_3_renewal,2024-05-10,990
55,u007,month_4_renewal,2024-06-10,990
56,u007,month_5_renewal,2024-07-10,990
